datetime, temperature [C], salinity [psu], sound speed velocity [m/s]
2020-01-21 14:33:55,29.28,0.00,1507.625
2020-01-21 14:33:56,29.28,0.00,1507.630
2020-01-21 14:33:57,29.28,0.00,1507.630
2020-01-21 14:33:58,29.28,0.00,1507.630
2020-01-21 14:33:59,29.28,0.00,1507.632
2020-01-21 14:34:00,29.28,0.00,1507.632
2020-01-21 14:34:01,29.28,0.00,1507.632
2020-01-21 14:34:02,29.28,0.00,1507.632
2020-01-21 14:34:03,29.28,0.00,1507.632
2020-01-21 14:34:04,29.28,0.00,1507.632
2020-01-21 14:34:05,29.28,0.00,1507.637
2020-01-21 14:34:06,29.28,0.00,1507.637
2020-01-21 14:34:07,29.28,0.00,1507.637
2020-01-21 14:34:08,29.28,0.00,1507.637
2020-01-21 14:34:09,29.28,0.00,1507.637
2020-01-21 14:34:10,29.28,0.00,1507.642
2020-01-21 14:34:11,29.28,0.00,1507.642
2020-01-21 14:34:12,29.28,0.00,1507.642
2020-01-21 14:34:13,29.28,0.00,1507.644
2020-01-21 14:34:14,29.28,0.00,1507.644
2020-01-21 14:34:15,29.29,0.00,1507.644
2020-01-21 14:34:16,29.29,0.00,1507.644
2020-01-21 14:34:17,29.29,0.00,1507.649
2020-01-21 14:34:18,29.29,0.00,1507.654
2020-01-21 14:34:19,29.29,0.00,1507.654
2020-01-21 14:34:20,29.29,0.00,1507.656
2020-01-21 14:34:21,29.29,0.00,1507.656
2020-01-21 14:34:22,29.29,0.00,1507.661
2020-01-21 14:34:23,29.29,0.00,1507.665
2020-01-21 14:34:24,29.30,0.00,1507.665
2020-01-21 14:34:25,29.30,0.00,1507.665
2020-01-21 14:34:26,29.30,0.00,1507.672
2020-01-21 14:34:27,29.30,0.00,1507.672
2020-01-21 14:34:28,29.30,0.00,1507.677
2020-01-21 14:34:29,29.30,0.00,1507.680
2020-01-21 14:34:30,29.30,0.00,1507.680
2020-01-21 14:34:31,29.30,0.00,1507.684
2020-01-21 14:34:32,29.30,0.00,1507.684
2020-01-21 14:34:33,29.30,0.00,1507.684
2020-01-21 14:34:34,29.31,0.00,1507.689
2020-01-21 14:34:35,29.31,0.00,1507.691
2020-01-21 14:34:36,29.31,0.00,1507.696
2020-01-21 14:34:37,29.31,0.00,1507.696
2020-01-21 14:34:38,29.31,0.00,1507.701
2020-01-21 14:34:39,29.31,0.00,1507.701
2020-01-21 14:34:40,29.31,0.00,1507.703
2020-01-21 14:34:41,29.31,0.00,1507.708
2020-01-21 14:34:42,29.31,0.00,1507.713
2020-01-21 14:34:43,29.31,0.00,1507.715
2020-01-21 14:34:44,29.32,0.00,1507.715
2020-01-21 14:34:45,29.32,0.00,1507.715
2020-01-21 14:34:46,29.32,0.00,1507.720
2020-01-21 14:34:47,29.32,0.00,1507.724
2020-01-21 14:34:48,29.32,0.00,1507.724
2020-01-21 14:34:49,29.32,0.00,1507.731
2020-01-21 14:34:50,29.32,0.00,1507.731
2020-01-21 14:34:51,29.32,0.00,1507.736
2020-01-21 14:34:52,29.32,0.00,1507.736
2020-01-21 14:34:53,29.33,0.00,1507.738
2020-01-21 14:34:54,29.33,0.00,1507.738
2020-01-21 14:34:55,29.33,0.00,1507.743
2020-01-21 14:34:56,29.33,0.00,1507.748
2020-01-21 14:34:57,29.33,0.00,1507.748
2020-01-21 14:34:58,29.33,0.00,1507.750
2020-01-21 14:34:59,29.33,0.00,1507.755
2020-01-21 14:35:00,29.33,0.00,1507.755
2020-01-21 14:35:01,29.34,0.00,1507.760
2020-01-21 14:35:02,29.34,0.00,1507.762
2020-01-21 14:35:03,29.34,0.00,1507.767
2020-01-21 14:35:04,29.34,0.00,1507.767
2020-01-21 14:35:05,29.34,0.00,1507.771
2020-01-21 14:35:06,29.34,0.00,1507.771
2020-01-21 14:35:07,29.34,0.00,1507.771
2020-01-21 14:35:08,29.34,0.00,1507.774
2020-01-21 14:35:09,29.34,0.00,1507.774
2020-01-21 14:35:10,29.34,0.00,1507.779
2020-01-21 14:35:11,29.34,0.00,1507.779
2020-01-21 14:35:12,29.34,0.00,1507.783
2020-01-21 14:35:13,29.35,0.00,1507.783
2020-01-21 14:35:14,29.35,0.00,1507.786
2020-01-21 14:35:15,29.35,0.00,1507.790
2020-01-21 14:35:16,29.35,0.00,1507.790
2020-01-21 14:35:17,29.35,0.00,1507.795
2020-01-21 14:35:18,29.35,0.00,1507.797
2020-01-21 14:35:19,29.35,0.00,1507.797
2020-01-21 14:35:20,29.35,0.00,1507.802
2020-01-21 14:35:21,29.35,0.00,1507.802
2020-01-21 14:35:22,29.35,0.00,1507.807
