datetime, temperature [°], salinity [psu], sound speed velocity [m/s]
2019-10-09 12:30:56,17.58,0.08,1474.961
2019-10-09 12:30:57,17.58,0.08,1474.957
2019-10-09 12:30:58,17.58,0.08,1474.952
2019-10-09 12:30:59,17.57,0.08,1474.947
2019-10-09 12:31:00,17.57,0.08,1474.942
2019-10-09 12:31:01,17.58,0.08,1474.942
2019-10-09 12:31:02,17.57,0.08,1474.936
2019-10-09 12:31:03,17.57,0.08,1474.936
2019-10-09 12:31:04,17.57,0.08,1474.936
2019-10-09 12:31:05,17.57,0.08,1474.926
2019-10-09 12:31:06,17.57,0.08,1474.926
2019-10-09 12:31:07,17.57,0.08,1474.926
2019-10-09 12:31:08,17.57,0.08,1474.923
2019-10-09 12:31:09,17.57,0.08,1474.913
2019-10-09 12:31:10,17.57,0.08,1474.913
2019-10-09 12:31:11,17.57,0.08,1474.913
2019-10-09 12:31:12,17.57,0.08,1474.913
2019-10-09 12:31:13,17.58,0.08,1474.916
2019-10-09 12:31:14,17.58,0.08,1474.926
2019-10-09 12:31:15,17.58,0.08,1474.942
2019-10-09 12:31:16,17.58,0.08,1474.946
2019-10-09 12:31:17,17.58,0.08,1474.946
2019-10-09 12:31:18,17.57,0.08,1474.946
2019-10-09 12:31:19,17.58,0.08,1474.942
2019-10-09 12:31:20,17.57,0.08,1474.942
2019-10-09 12:31:21,17.57,0.08,1474.936
2019-10-09 12:31:22,17.58,0.08,1474.936
2019-10-09 12:31:23,17.59,0.08,1474.942
2019-10-09 12:31:24,17.59,0.08,1474.946
2019-10-09 12:31:25,17.60,0.08,1474.972
2019-10-09 12:31:26,17.60,0.08,1474.998
2019-10-09 12:31:27,17.60,0.08,1475.018
2019-10-09 12:31:28,17.60,0.08,1475.021
2019-10-09 12:31:29,17.61,0.08,1475.028
2019-10-09 12:31:30,17.61,0.08,1475.031
2019-10-09 12:31:31,17.61,0.08,1475.051
2019-10-09 12:31:32,17.61,0.08,1475.051
2019-10-09 12:31:33,17.61,0.08,1475.051
2019-10-09 12:31:34,17.61,0.08,1475.051
2019-10-09 12:31:35,17.61,0.08,1475.051
