datetime, temperature [°], salinity [psu], sound speed velocity [m/s]
2019-10-08 08:09:44,17.92,0.00,1475.955
2019-10-08 08:09:45,17.92,0.00,1475.957
2019-10-08 08:09:46,17.92,0.00,1475.959
2019-10-08 08:09:47,17.92,0.00,1475.959
2019-10-08 08:09:48,17.92,0.00,1475.959
2019-10-08 08:09:49,17.93,0.00,1475.965
2019-10-08 08:09:50,17.93,0.00,1475.965
2019-10-08 08:09:51,17.93,0.00,1475.972
2019-10-08 08:09:52,17.93,0.00,1475.975
2019-10-08 08:09:53,17.93,0.00,1475.975
2019-10-08 08:09:54,17.93,0.00,1475.975
2019-10-08 08:09:55,17.93,0.00,1475.981
2019-10-08 08:09:56,17.93,0.00,1475.981
2019-10-08 08:09:57,17.93,0.00,1475.981
2019-10-08 08:09:58,17.93,0.00,1475.985
2019-10-08 08:09:59,17.93,0.00,1475.991
2019-10-08 08:10:00,17.93,0.00,1475.991
2019-10-08 08:10:01,17.93,0.00,1475.994
2019-10-08 08:10:02,17.93,0.00,1475.994
2019-10-08 08:10:03,17.93,0.00,1475.994
2019-10-08 08:10:04,17.93,0.00,1475.991
2019-10-08 08:10:05,17.93,0.00,1475.991
2019-10-08 08:10:06,17.93,0.00,1475.985
2019-10-08 08:10:07,17.93,0.00,1475.985
2019-10-08 08:10:08,17.93,0.00,1475.985
2019-10-08 08:10:09,17.93,0.00,1475.985
2019-10-08 08:10:10,17.93,0.00,1475.985
2019-10-08 08:10:11,17.93,0.00,1475.985
2019-10-08 08:10:12,17.93,0.00,1475.985
2019-10-08 08:10:13,17.93,0.00,1475.985
2019-10-08 08:10:14,17.93,0.00,1475.985
2019-10-08 08:10:15,17.93,0.00,1475.985
2019-10-08 08:10:16,17.93,0.00,1475.985
2019-10-08 08:10:17,17.93,0.00,1475.985
2019-10-08 08:10:18,17.93,0.00,1475.985
2019-10-08 08:10:19,17.93,0.00,1475.985
2019-10-08 08:10:20,17.93,0.00,1475.985
2019-10-08 08:10:21,17.93,0.00,1475.991
2019-10-08 08:10:22,17.93,0.00,1475.991
2019-10-08 08:10:23,17.93,0.00,1475.994
2019-10-08 08:10:24,17.93,0.00,1475.994
2019-10-08 08:10:25,17.93,0.00,1475.994
2019-10-08 08:10:26,17.93,0.00,1476.001
2019-10-08 08:10:27,17.94,0.00,1476.004
2019-10-08 08:10:28,17.93,0.00,1476.004
2019-10-08 08:10:29,17.93,0.00,1476.004
2019-10-08 08:10:30,17.93,0.00,1476.004
2019-10-08 08:10:31,17.93,0.00,1476.001
2019-10-08 08:10:32,17.93,0.00,1475.994
2019-10-08 08:10:33,17.93,0.00,1475.994
2019-10-08 08:10:34,17.93,0.00,1475.994
2019-10-08 08:10:35,17.93,0.00,1475.994
2019-10-08 08:10:36,17.93,0.00,1475.994
2019-10-08 08:10:37,17.93,0.00,1475.994
2019-10-08 08:10:38,17.93,0.00,1475.994
2019-10-08 08:10:39,17.93,0.00,1475.994
2019-10-08 08:10:40,17.93,0.00,1475.994
2019-10-08 08:10:41,17.93,0.00,1475.994
2019-10-08 08:10:42,17.93,0.00,1475.994
2019-10-08 08:10:43,17.94,0.00,1476.001
2019-10-08 08:10:44,17.94,0.00,1476.004
2019-10-08 08:10:45,17.94,0.00,1476.010
2019-10-08 08:10:46,17.94,0.00,1476.010
2019-10-08 08:10:47,17.94,0.00,1476.014
2019-10-08 08:10:48,17.94,0.00,1476.020
2019-10-08 08:10:49,17.95,0.00,1476.023
2019-10-08 08:10:50,17.95,0.00,1476.030
2019-10-08 08:10:51,17.95,0.00,1476.040
2019-10-08 08:10:52,17.95,0.00,1476.043
2019-10-08 08:10:53,17.95,0.00,1476.049
2019-10-08 08:10:54,17.96,0.00,1476.059
2019-10-08 08:10:55,17.96,0.00,1476.066
2019-10-08 08:10:56,17.96,0.00,1476.079
2019-10-08 08:10:57,17.97,0.00,1476.088
2019-10-08 08:10:58,17.97,0.00,1476.095
2019-10-08 08:10:59,17.97,0.00,1476.105
2019-10-08 08:11:00,17.97,0.00,1476.114
2019-10-08 08:11:01,17.98,0.00,1476.117
2019-10-08 08:11:02,17.98,0.00,1476.127
2019-10-08 08:11:03,17.98,0.00,1476.134
2019-10-08 08:11:04,17.98,0.00,1476.137
2019-10-08 08:11:05,17.98,0.00,1476.143
2019-10-08 08:11:06,17.98,0.00,1476.143
2019-10-08 08:11:07,17.98,0.00,1476.153
2019-10-08 08:11:08,17.99,0.00,1476.156
2019-10-08 08:11:09,17.99,0.00,1476.163
2019-10-08 08:11:10,17.99,0.00,1476.173
2019-10-08 08:11:11,17.99,0.00,1476.179
2019-10-08 08:11:12,17.99,0.00,1476.182
2019-10-08 08:11:13,17.99,0.00,1476.189
2019-10-08 08:11:14,18.00,0.00,1476.189
2019-10-08 08:11:15,18.00,0.00,1476.192
2019-10-08 08:11:16,18.00,0.00,1476.198
2019-10-08 08:11:17,18.00,0.00,1476.202
2019-10-08 08:11:18,18.00,0.00,1476.208
2019-10-08 08:11:19,18.00,0.00,1476.211
2019-10-08 08:11:20,18.00,0.00,1476.218
2019-10-08 08:11:21,18.01,0.00,1476.221
2019-10-08 08:11:22,18.01,0.00,1476.228
2019-10-08 08:11:23,18.01,0.00,1476.237
2019-10-08 08:11:24,18.01,0.00,1476.241
2019-10-08 08:11:25,18.01,0.00,1476.241
2019-10-08 08:11:26,18.01,0.00,1476.247
2019-10-08 08:11:27,18.01,0.00,1476.250
2019-10-08 08:11:28,18.02,0.00,1476.260
2019-10-08 08:11:29,18.02,0.00,1476.260
2019-10-08 08:11:30,18.02,0.00,1476.267
2019-10-08 08:11:31,18.02,0.00,1476.267
2019-10-08 08:11:32,18.02,0.00,1476.273
2019-10-08 08:11:33,18.02,0.00,1476.276
2019-10-08 08:11:34,18.02,0.00,1476.276
2019-10-08 08:11:35,18.02,0.00,1476.283
2019-10-08 08:11:36,18.02,0.00,1476.283
2019-10-08 08:11:37,18.02,0.00,1476.286
2019-10-08 08:11:38,18.02,0.00,1476.292
2019-10-08 08:11:39,18.03,0.00,1476.296
2019-10-08 08:11:40,18.03,0.00,1476.296
2019-10-08 08:11:41,18.03,0.00,1476.302
2019-10-08 08:11:42,18.03,0.00,1476.302
2019-10-08 08:11:43,18.03,0.00,1476.305
2019-10-08 08:11:44,18.03,0.00,1476.305
2019-10-08 08:11:45,18.03,0.00,1476.312
2019-10-08 08:11:46,18.03,0.00,1476.315
2019-10-08 08:11:47,18.03,0.00,1476.322
2019-10-08 08:11:48,18.03,0.00,1476.322
2019-10-08 08:11:49,18.03,0.00,1476.325
2019-10-08 08:11:50,18.03,0.00,1476.325
2019-10-08 08:11:51,18.04,0.00,1476.325
2019-10-08 08:11:52,18.03,0.00,1476.325
2019-10-08 08:11:53,18.04,0.00,1476.325
2019-10-08 08:11:54,18.04,0.00,1476.331
2019-10-08 08:11:55,18.04,0.00,1476.331
2019-10-08 08:11:56,18.04,0.00,1476.331
2019-10-08 08:11:57,18.04,0.00,1476.331
2019-10-08 08:11:58,18.04,0.00,1476.334
2019-10-08 08:11:59,18.04,0.00,1476.334
2019-10-08 08:12:00,18.04,0.00,1476.334
2019-10-08 08:12:01,18.04,0.00,1476.334
2019-10-08 08:12:02,18.04,0.00,1476.334
2019-10-08 08:12:03,18.04,0.00,1476.341
2019-10-08 08:12:04,18.04,0.00,1476.341
2019-10-08 08:12:05,18.04,0.00,1476.344
2019-10-08 08:12:06,18.04,0.00,1476.344
2019-10-08 08:12:07,18.04,0.00,1476.344
2019-10-08 08:12:08,18.04,0.00,1476.351
2019-10-08 08:12:09,18.04,0.00,1476.351
2019-10-08 08:12:10,18.04,0.00,1476.351
2019-10-08 08:12:11,18.04,0.00,1476.351
2019-10-08 08:12:12,18.04,0.00,1476.354
2019-10-08 08:12:13,18.05,0.00,1476.354
2019-10-08 08:12:14,18.05,0.00,1476.354
2019-10-08 08:12:15,18.05,0.00,1476.360
2019-10-08 08:12:16,18.04,0.00,1476.360
2019-10-08 08:12:17,18.04,0.00,1476.360
2019-10-08 08:12:18,18.04,0.00,1476.354
2019-10-08 08:12:19,18.04,0.00,1476.354
2019-10-08 08:12:20,18.04,0.00,1476.354
2019-10-08 08:12:21,18.04,0.00,1476.354
2019-10-08 08:12:22,18.04,0.00,1476.351
2019-10-08 08:12:23,18.04,0.00,1476.351
2019-10-08 08:12:24,18.04,0.00,1476.344
2019-10-08 08:12:25,18.04,0.00,1476.344
2019-10-08 08:12:26,18.04,0.00,1476.344
2019-10-08 08:12:27,18.04,0.00,1476.341
2019-10-08 08:12:28,18.03,0.00,1476.334
2019-10-08 08:12:29,18.03,0.00,1476.331
2019-10-08 08:12:30,18.03,0.00,1476.325
2019-10-08 08:12:31,18.03,0.00,1476.325
2019-10-08 08:12:32,18.03,0.00,1476.322
2019-10-08 08:12:33,18.03,0.00,1476.315
2019-10-08 08:12:34,18.03,0.00,1476.315
2019-10-08 08:12:35,18.03,0.00,1476.315
2019-10-08 08:12:36,18.03,0.00,1476.312
2019-10-08 08:12:37,18.03,0.00,1476.305
2019-10-08 08:12:38,18.03,0.00,1476.305
2019-10-08 08:12:39,18.02,0.00,1476.302
2019-10-08 08:12:40,18.02,0.00,1476.302
2019-10-08 08:12:41,18.02,0.00,1476.296
2019-10-08 08:12:42,18.02,0.00,1476.292
2019-10-08 08:12:43,18.02,0.00,1476.286
2019-10-08 08:12:44,18.02,0.00,1476.286
2019-10-08 08:12:45,18.02,0.00,1476.283
2019-10-08 08:12:46,18.02,0.00,1476.276
2019-10-08 08:12:47,18.02,0.00,1476.276
2019-10-08 08:12:48,18.02,0.00,1476.273
2019-10-08 08:12:49,18.02,0.00,1476.273
2019-10-08 08:12:50,18.01,0.00,1476.267
2019-10-08 08:12:51,18.01,0.00,1476.267
2019-10-08 08:12:52,18.01,0.00,1476.260
2019-10-08 08:12:53,18.01,0.00,1476.260
2019-10-08 08:12:54,18.01,0.00,1476.260
2019-10-08 08:12:55,18.01,0.00,1476.260
2019-10-08 08:12:56,18.01,0.00,1476.260
2019-10-08 08:12:57,18.01,0.00,1476.260
2019-10-08 08:12:58,18.01,0.00,1476.260
2019-10-08 08:12:59,18.01,0.00,1476.260
2019-10-08 08:13:00,18.01,0.00,1476.260
2019-10-08 08:13:01,18.01,0.00,1476.260
2019-10-08 08:13:02,18.02,0.00,1476.260
2019-10-08 08:13:03,18.02,0.00,1476.260
2019-10-08 08:13:04,18.02,0.00,1476.267
2019-10-08 08:13:05,18.02,0.00,1476.267
2019-10-08 08:13:06,18.02,0.00,1476.273
2019-10-08 08:13:07,18.02,0.00,1476.273
2019-10-08 08:13:08,18.02,0.00,1476.273
2019-10-08 08:13:09,18.02,0.00,1476.276
