datetime, temperature [°], salinity [psu], sound speed velocity [m/s]
2019-10-09 13:29:53,17.57,0.08,1474.906
2019-10-09 13:29:54,17.56,0.08,1474.905
2019-10-09 13:29:55,17.56,0.08,1474.903
2019-10-09 13:29:56,17.56,0.08,1474.903
2019-10-09 13:29:57,17.56,0.08,1474.903
2019-10-09 13:29:58,17.56,0.08,1474.897
2019-10-09 13:29:59,17.56,0.08,1474.893
2019-10-09 13:30:00,17.56,0.08,1474.893
2019-10-09 13:30:01,17.56,0.08,1474.893
2019-10-09 13:30:02,17.56,0.08,1474.893
2019-10-09 13:30:03,17.56,0.08,1474.893
2019-10-09 13:30:04,17.57,0.08,1474.897
2019-10-09 13:30:05,17.57,0.08,1474.903
2019-10-09 13:30:06,17.57,0.08,1474.906
2019-10-09 13:30:07,17.57,0.08,1474.906
2019-10-09 13:30:08,17.57,0.08,1474.906
2019-10-09 13:30:09,17.57,0.08,1474.906
2019-10-09 13:30:10,17.57,0.08,1474.913
2019-10-09 13:30:11,17.57,0.08,1474.916
2019-10-09 13:30:12,17.57,0.08,1474.916
2019-10-09 13:30:13,17.57,0.08,1474.923
2019-10-09 13:30:14,17.57,0.08,1474.926
2019-10-09 13:30:15,17.57,0.08,1474.933
2019-10-09 13:30:16,17.57,0.08,1474.933
2019-10-09 13:30:17,17.57,0.08,1474.933
2019-10-09 13:30:18,17.57,0.08,1474.933
2019-10-09 13:30:19,17.57,0.08,1474.926
2019-10-09 13:30:20,17.57,0.08,1474.926
2019-10-09 13:30:21,17.57,0.08,1474.923
2019-10-09 13:30:22,17.57,0.08,1474.923
2019-10-09 13:30:23,17.57,0.08,1474.923
2019-10-09 13:30:24,17.57,0.08,1474.916
2019-10-09 13:30:25,17.56,0.08,1474.913
2019-10-09 13:30:26,17.56,0.08,1474.906
2019-10-09 13:30:27,17.56,0.08,1474.903
2019-10-09 13:30:28,17.56,0.08,1474.903
2019-10-09 13:30:29,17.56,0.08,1474.897
2019-10-09 13:30:30,17.56,0.08,1474.897
2019-10-09 13:30:31,17.56,0.08,1474.897
2019-10-09 13:30:32,17.56,0.08,1474.893
2019-10-09 13:30:33,17.56,0.08,1474.897
2019-10-09 13:30:34,17.56,0.08,1474.897
2019-10-09 13:30:35,17.56,0.08,1474.897
2019-10-09 13:30:36,17.56,0.08,1474.897
2019-10-09 13:30:37,17.57,0.08,1474.897
2019-10-09 13:30:38,17.57,0.08,1474.903
2019-10-09 13:30:39,17.57,0.08,1474.906
2019-10-09 13:30:40,17.57,0.08,1474.906
2019-10-09 13:30:41,17.57,0.08,1474.906
2019-10-09 13:30:42,17.57,0.08,1474.906
2019-10-09 13:30:43,17.56,0.08,1474.906
2019-10-09 13:30:44,17.56,0.08,1474.906
2019-10-09 13:30:45,17.56,0.08,1474.903
2019-10-09 13:30:46,17.56,0.08,1474.893
2019-10-09 13:30:47,17.56,0.08,1474.887
2019-10-09 13:30:48,17.56,0.08,1474.887
2019-10-09 13:30:49,17.56,0.08,1474.887
2019-10-09 13:30:50,17.56,0.08,1474.887
2019-10-09 13:30:51,17.56,0.08,1474.887
2019-10-09 13:30:52,17.56,0.08,1474.887
2019-10-09 13:30:53,17.56,0.08,1474.893
2019-10-09 13:30:54,17.56,0.08,1474.897
2019-10-09 13:30:55,17.56,0.08,1474.897
2019-10-09 13:30:56,17.55,0.08,1474.897
2019-10-09 13:30:57,17.55,0.08,1474.887
2019-10-09 13:30:58,17.55,0.08,1474.867
2019-10-09 13:30:59,17.54,0.08,1474.857
2019-10-09 13:31:00,17.54,0.08,1474.847
2019-10-09 13:31:01,17.54,0.08,1474.838
2019-10-09 13:31:02,17.54,0.08,1474.838
2019-10-09 13:31:03,17.54,0.08,1474.838
2019-10-09 13:31:04,17.54,0.08,1474.831
2019-10-09 13:31:05,17.54,0.08,1474.831
2019-10-09 13:31:06,17.54,0.08,1474.828
2019-10-09 13:31:07,17.53,0.08,1474.821
2019-10-09 13:31:08,17.53,0.08,1474.818
2019-10-09 13:31:09,17.53,0.08,1474.802
2019-10-09 13:31:10,17.53,0.08,1474.792
2019-10-09 13:31:11,17.53,0.08,1474.792
2019-10-09 13:31:12,17.52,0.08,1474.788
2019-10-09 13:31:13,17.52,0.08,1474.779
2019-10-09 13:31:14,17.52,0.08,1474.762
2019-10-09 13:31:15,17.52,0.08,1474.762
2019-10-09 13:31:16,17.53,0.08,1474.762
2019-10-09 13:31:17,17.53,0.08,1474.772
2019-10-09 13:31:18,17.52,0.08,1474.772
2019-10-09 13:31:19,17.52,0.08,1474.772
