datetime, temperature [°], salinity [psu], sound speed velocity [m/s]
2019-10-09 13:22:50,17.59,0.08,1474.972
2019-10-09 13:22:51,17.58,0.08,1474.969
2019-10-09 13:22:52,17.58,0.08,1474.965
2019-10-09 13:22:53,17.59,0.08,1474.969
2019-10-09 13:22:54,17.59,0.08,1474.972
2019-10-09 13:22:55,17.59,0.08,1474.978
2019-10-09 13:22:56,17.59,0.08,1474.988
2019-10-09 13:22:57,17.59,0.08,1474.988
2019-10-09 13:22:58,17.59,0.08,1474.988
2019-10-09 13:22:59,17.58,0.08,1474.982
2019-10-09 13:23:00,17.58,0.08,1474.978
2019-10-09 13:23:01,17.58,0.08,1474.965
2019-10-09 13:23:02,17.58,0.08,1474.965
2019-10-09 13:23:03,17.58,0.08,1474.956
2019-10-09 13:23:04,17.57,0.08,1474.952
2019-10-09 13:23:05,17.57,0.08,1474.946
2019-10-09 13:23:06,17.57,0.08,1474.936
2019-10-09 13:23:07,17.57,0.08,1474.933
2019-10-09 13:23:08,17.57,0.08,1474.926
2019-10-09 13:23:09,17.57,0.08,1474.926
2019-10-09 13:23:10,17.57,0.08,1474.926
2019-10-09 13:23:11,17.57,0.08,1474.926
2019-10-09 13:23:12,17.57,0.08,1474.926
2019-10-09 13:23:13,17.57,0.08,1474.926
2019-10-09 13:23:14,17.57,0.08,1474.926
2019-10-09 13:23:15,17.57,0.08,1474.926
2019-10-09 13:23:16,17.57,0.08,1474.933
2019-10-09 13:23:17,17.57,0.08,1474.933
2019-10-09 13:23:18,17.57,0.08,1474.936
2019-10-09 13:23:19,17.58,0.08,1474.936
2019-10-09 13:23:20,17.58,0.08,1474.936
2019-10-09 13:23:21,17.58,0.08,1474.946
2019-10-09 13:23:22,17.59,0.08,1474.952
2019-10-09 13:23:23,17.59,0.08,1474.965
2019-10-09 13:23:24,17.59,0.08,1474.972
2019-10-09 13:23:25,17.59,0.08,1474.972
2019-10-09 13:23:26,17.59,0.08,1474.978
