datetime, temperature [°], salinity [psu], sound speed velocity [m/s]
2019-10-10 13:04:17,17.34,0.08,1474.182
2019-10-10 13:04:18,17.34,0.08,1474.179
2019-10-10 13:04:19,17.34,0.08,1474.175
2019-10-10 13:04:20,17.34,0.08,1474.175
2019-10-10 13:04:21,17.34,0.08,1474.175
2019-10-10 13:04:22,17.34,0.08,1474.172
2019-10-10 13:04:23,17.34,0.08,1474.172
2019-10-10 13:04:24,17.34,0.08,1474.172
2019-10-10 13:04:25,17.34,0.08,1474.172
2019-10-10 13:04:26,17.34,0.08,1474.172
2019-10-10 13:04:27,17.34,0.08,1474.166
2019-10-10 13:04:28,17.34,0.08,1474.166
2019-10-10 13:04:29,17.34,0.08,1474.166
2019-10-10 13:04:30,17.34,0.08,1474.162
2019-10-10 13:04:31,17.34,0.08,1474.162
2019-10-10 13:04:32,17.34,0.08,1474.162
2019-10-10 13:04:33,17.34,0.08,1474.162
2019-10-10 13:04:34,17.33,0.08,1474.156
2019-10-10 13:04:35,17.33,0.08,1474.152
2019-10-10 13:04:36,17.33,0.08,1474.146
2019-10-10 13:04:37,17.33,0.08,1474.139
2019-10-10 13:04:38,17.33,0.08,1474.129
2019-10-10 13:04:39,17.32,0.08,1474.126
2019-10-10 13:04:40,17.32,0.08,1474.119
2019-10-10 13:04:41,17.32,0.08,1474.110
2019-10-10 13:04:42,17.32,0.08,1474.106
2019-10-10 13:04:43,17.32,0.08,1474.100
2019-10-10 13:04:44,17.32,0.08,1474.100
2019-10-10 13:04:45,17.32,0.08,1474.100
2019-10-10 13:04:46,17.32,0.07,1474.100
2019-10-10 13:04:47,17.32,0.08,1474.100
2019-10-10 13:04:48,17.32,0.08,1474.100
2019-10-10 13:04:49,17.32,0.08,1474.096
2019-10-10 13:04:50,17.32,0.08,1474.090
2019-10-10 13:04:51,17.31,0.08,1474.090
2019-10-10 13:04:52,17.31,0.08,1474.090
2019-10-10 13:04:53,17.31,0.08,1474.080
2019-10-10 13:04:54,17.31,0.08,1474.077
2019-10-10 13:04:55,17.31,0.08,1474.077
2019-10-10 13:04:56,17.31,0.08,1474.077
2019-10-10 13:04:57,17.31,0.08,1474.077
2019-10-10 13:04:58,17.31,0.08,1474.077
2019-10-10 13:04:59,17.31,0.08,1474.077
2019-10-10 13:05:00,17.31,0.08,1474.080
2019-10-10 13:05:01,17.32,0.08,1474.080
2019-10-10 13:05:02,17.32,0.08,1474.080
2019-10-10 13:05:03,17.32,0.08,1474.086
2019-10-10 13:05:04,17.32,0.08,1474.096
2019-10-10 13:05:05,17.32,0.08,1474.096
2019-10-10 13:05:06,17.32,0.08,1474.100
2019-10-10 13:05:07,17.32,0.08,1474.100
2019-10-10 13:05:08,17.33,0.08,1474.106
2019-10-10 13:05:09,17.33,0.08,1474.116
2019-10-10 13:05:10,17.33,0.08,1474.126
2019-10-10 13:05:11,17.33,0.08,1474.136
2019-10-10 13:05:12,17.34,0.08,1474.139
2019-10-10 13:05:13,17.34,0.08,1474.146
2019-10-10 13:05:14,17.34,0.08,1474.156
2019-10-10 13:05:15,17.34,0.08,1474.156
2019-10-10 13:05:16,17.34,0.08,1474.162
2019-10-10 13:05:17,17.34,0.08,1474.166
2019-10-10 13:05:18,17.34,0.08,1474.172
2019-10-10 13:05:19,17.35,0.08,1474.175
2019-10-10 13:05:20,17.34,0.08,1474.182
2019-10-10 13:05:21,17.34,0.08,1474.182
2019-10-10 13:05:22,17.34,0.08,1474.182
2019-10-10 13:05:23,17.34,0.08,1474.172
2019-10-10 13:05:24,17.33,0.08,1474.162
2019-10-10 13:05:25,17.33,0.08,1474.152
2019-10-10 13:05:26,17.33,0.08,1474.139
2019-10-10 13:05:27,17.33,0.08,1474.136
2019-10-10 13:05:28,17.33,0.08,1474.129
2019-10-10 13:05:29,17.33,0.08,1474.126
2019-10-10 13:05:30,17.33,0.08,1474.126
2019-10-10 13:05:31,17.33,0.08,1474.119
2019-10-10 13:05:32,17.33,0.08,1474.119
2019-10-10 13:05:33,17.32,0.08,1474.119
2019-10-10 13:05:34,17.32,0.08,1474.119
2019-10-10 13:05:35,17.31,0.08,1474.110
2019-10-10 13:05:36,17.31,0.08,1474.096
2019-10-10 13:05:37,17.30,0.08,1474.077
2019-10-10 13:05:38,17.30,0.08,1474.060
2019-10-10 13:05:39,17.30,0.08,1474.050
2019-10-10 13:05:40,17.30,0.08,1474.037
2019-10-10 13:05:41,17.30,0.08,1474.030
2019-10-10 13:05:42,17.30,0.08,1474.027
2019-10-10 13:05:43,17.29,0.08,1474.020
2019-10-10 13:05:44,17.29,0.08,1474.020
2019-10-10 13:05:45,17.29,0.08,1474.014
2019-10-10 13:05:46,17.29,0.08,1474.014
2019-10-10 13:05:47,17.29,0.08,1474.011
2019-10-10 13:05:48,17.29,0.08,1474.011
2019-10-10 13:05:49,17.29,0.08,1474.004
2019-10-10 13:05:50,17.29,0.08,1474.004
2019-10-10 13:05:51,17.29,0.08,1474.001
2019-10-10 13:05:52,17.29,0.08,1474.001
2019-10-10 13:05:53,17.29,0.08,1474.001
2019-10-10 13:05:54,17.29,0.08,1474.004
2019-10-10 13:05:55,17.29,0.08,1474.011
2019-10-10 13:05:56,17.30,0.08,1474.011
2019-10-10 13:05:57,17.30,0.08,1474.014
2019-10-10 13:05:58,17.30,0.08,1474.020
2019-10-10 13:05:59,17.30,0.08,1474.027
2019-10-10 13:06:00,17.30,0.08,1474.030
2019-10-10 13:06:01,17.30,0.08,1474.037
2019-10-10 13:06:02,17.31,0.08,1474.047
2019-10-10 13:06:03,17.30,0.08,1474.050
2019-10-10 13:06:04,17.30,0.08,1474.050
2019-10-10 13:06:05,17.30,0.08,1474.050
2019-10-10 13:06:06,17.30,0.08,1474.050
2019-10-10 13:06:07,17.30,0.08,1474.047
2019-10-10 13:06:08,17.30,0.08,1474.047
2019-10-10 13:06:09,17.30,0.08,1474.047
2019-10-10 13:06:10,17.30,0.08,1474.047
2019-10-10 13:06:11,17.31,0.08,1474.047
2019-10-10 13:06:12,17.31,0.08,1474.050
2019-10-10 13:06:13,17.31,0.08,1474.057
2019-10-10 13:06:14,17.32,0.08,1474.067
2019-10-10 13:06:15,17.32,0.08,1474.077
2019-10-10 13:06:16,17.32,0.08,1474.090
2019-10-10 13:06:17,17.33,0.08,1474.100
2019-10-10 13:06:18,17.33,0.08,1474.110
2019-10-10 13:06:19,17.33,0.08,1474.119
2019-10-10 13:06:20,17.34,0.08,1474.129
2019-10-10 13:06:21,17.34,0.08,1474.146
2019-10-10 13:06:22,17.34,0.08,1474.156
2019-10-10 13:06:23,17.35,0.08,1474.172
2019-10-10 13:06:24,17.35,0.08,1474.182
2019-10-10 13:06:25,17.35,0.08,1474.192
2019-10-10 13:06:26,17.35,0.08,1474.195
