datetime, temperature [°], salinity [psu], sound speed velocity [m/s]
2019-10-09 14:01:47,17.50,0.08,1474.683
2019-10-09 14:01:48,17.50,0.08,1474.683
2019-10-09 14:01:49,17.50,0.08,1474.682
2019-10-09 14:01:50,17.49,0.08,1474.683
2019-10-09 14:01:51,17.49,0.08,1474.683
2019-10-09 14:01:52,17.49,0.08,1474.674
2019-10-09 14:01:53,17.49,0.08,1474.657
2019-10-09 14:01:54,17.48,0.08,1474.657
2019-10-09 14:01:55,17.48,0.08,1474.647
2019-10-09 14:01:56,17.48,0.08,1474.637
2019-10-09 14:01:57,17.48,0.08,1474.628
2019-10-09 14:01:58,17.48,0.08,1474.628
2019-10-09 14:01:59,17.48,0.08,1474.621
2019-10-09 14:02:00,17.48,0.08,1474.621
2019-10-09 14:02:01,17.48,0.08,1474.621
2019-10-09 14:02:02,17.48,0.08,1474.621
2019-10-09 14:02:03,17.48,0.08,1474.621
2019-10-09 14:02:04,17.48,0.08,1474.621
2019-10-09 14:02:05,17.48,0.08,1474.628
2019-10-09 14:02:06,17.48,0.08,1474.637
2019-10-09 14:02:07,17.49,0.08,1474.637
2019-10-09 14:02:08,17.49,0.08,1474.637
2019-10-09 14:02:09,17.49,0.08,1474.647
2019-10-09 14:02:10,17.49,0.08,1474.654
2019-10-09 14:02:11,17.49,0.08,1474.654
2019-10-09 14:02:12,17.49,0.08,1474.654
2019-10-09 14:02:13,17.49,0.08,1474.657
2019-10-09 14:02:14,17.49,0.08,1474.657
2019-10-09 14:02:15,17.49,0.08,1474.657
2019-10-09 14:02:16,17.49,0.08,1474.657
2019-10-09 14:02:17,17.50,0.08,1474.657
2019-10-09 14:02:18,17.50,0.08,1474.674
2019-10-09 14:02:19,17.50,0.08,1474.677
2019-10-09 14:02:20,17.50,0.08,1474.677
2019-10-09 14:02:21,17.50,0.08,1474.683
2019-10-09 14:02:22,17.50,0.08,1474.693
2019-10-09 14:02:23,17.51,0.08,1474.697
2019-10-09 14:02:24,17.51,0.08,1474.706
2019-10-09 14:02:25,17.51,0.08,1474.716
2019-10-09 14:02:26,17.51,0.08,1474.723
2019-10-09 14:02:27,17.51,0.08,1474.723
2019-10-09 14:02:28,17.51,0.08,1474.723
2019-10-09 14:02:29,17.51,0.08,1474.723
2019-10-09 14:02:30,17.51,0.08,1474.723
2019-10-09 14:02:31,17.51,0.08,1474.723
2019-10-09 14:02:32,17.51,0.08,1474.723
2019-10-09 14:02:33,17.51,0.08,1474.723
2019-10-09 14:02:34,17.51,0.08,1474.726
2019-10-09 14:02:35,17.51,0.08,1474.726
2019-10-09 14:02:36,17.52,0.08,1474.733
2019-10-09 14:02:37,17.52,0.08,1474.736
2019-10-09 14:02:38,17.52,0.08,1474.742
2019-10-09 14:02:39,17.52,0.08,1474.742
2019-10-09 14:02:40,17.52,0.08,1474.749
2019-10-09 14:02:41,17.52,0.08,1474.749
2019-10-09 14:02:42,17.52,0.08,1474.752
2019-10-09 14:02:43,17.52,0.08,1474.752
2019-10-09 14:02:44,17.52,0.08,1474.752
2019-10-09 14:02:45,17.51,0.08,1474.749
2019-10-09 14:02:46,17.51,0.08,1474.742
2019-10-09 14:02:47,17.51,0.08,1474.733
2019-10-09 14:02:48,17.51,0.08,1474.726
2019-10-09 14:02:49,17.51,0.08,1474.726
2019-10-09 14:02:50,17.51,0.08,1474.726
2019-10-09 14:02:51,17.51,0.08,1474.726
2019-10-09 14:02:52,17.51,0.08,1474.726
2019-10-09 14:02:53,17.51,0.08,1474.733
2019-10-09 14:02:54,17.51,0.08,1474.733
2019-10-09 14:02:55,17.51,0.08,1474.733
2019-10-09 14:02:56,17.52,0.08,1474.733
2019-10-09 14:02:57,17.52,0.08,1474.736
2019-10-09 14:02:58,17.52,0.08,1474.742
2019-10-09 14:02:59,17.51,0.08,1474.742
2019-10-09 14:03:00,17.51,0.08,1474.742
2019-10-09 14:03:01,17.51,0.08,1474.736
2019-10-09 14:03:02,17.52,0.08,1474.736
2019-10-09 14:03:03,17.52,0.08,1474.736
2019-10-09 14:03:04,17.52,0.08,1474.742
2019-10-09 14:03:05,17.52,0.08,1474.742
2019-10-09 14:03:06,17.52,0.08,1474.749
2019-10-09 14:03:07,17.52,0.08,1474.749
2019-10-09 14:03:08,17.52,0.08,1474.752
2019-10-09 14:03:09,17.52,0.08,1474.752
2019-10-09 14:03:10,17.52,0.08,1474.752
2019-10-09 14:03:11,17.52,0.08,1474.752
2019-10-09 14:03:12,17.52,0.08,1474.752
2019-10-09 14:03:13,17.52,0.08,1474.759
2019-10-09 14:03:14,17.52,0.08,1474.759
2019-10-09 14:03:15,17.52,0.08,1474.759
2019-10-09 14:03:16,17.52,0.08,1474.759
2019-10-09 14:03:17,17.52,0.08,1474.751
2019-10-09 14:03:18,17.52,0.08,1474.748
2019-10-09 14:03:19,17.52,0.08,1474.748
2019-10-09 14:03:20,17.52,0.08,1474.748
2019-10-09 14:03:21,17.52,0.08,1474.741
2019-10-09 14:03:22,17.52,0.08,1474.742
2019-10-09 14:03:23,17.52,0.08,1474.742
2019-10-09 14:03:24,17.52,0.08,1474.742
2019-10-09 14:03:25,17.52,0.08,1474.742
2019-10-09 14:03:26,17.52,0.08,1474.742
2019-10-09 14:03:27,17.51,0.08,1474.742
2019-10-09 14:03:28,17.51,0.08,1474.742
2019-10-09 14:03:29,17.51,0.08,1474.736
2019-10-09 14:03:30,17.51,0.08,1474.733
2019-10-09 14:03:31,17.51,0.08,1474.733
2019-10-09 14:03:32,17.51,0.08,1474.726
2019-10-09 14:03:33,17.51,0.08,1474.726
2019-10-09 14:03:34,17.51,0.08,1474.716
2019-10-09 14:03:35,17.51,0.08,1474.716
2019-10-09 14:03:36,17.51,0.08,1474.716
2019-10-09 14:03:37,17.51,0.08,1474.716
2019-10-09 14:03:38,17.51,0.08,1474.723
2019-10-09 14:03:39,17.51,0.08,1474.726
2019-10-09 14:03:40,17.51,0.08,1474.726
2019-10-09 14:03:41,17.51,0.08,1474.726
2019-10-09 14:03:42,17.51,0.08,1474.733
2019-10-09 14:03:43,17.51,0.08,1474.733
2019-10-09 14:03:44,17.51,0.08,1474.736
2019-10-09 14:03:45,17.51,0.08,1474.736
2019-10-09 14:03:46,17.51,0.08,1474.736
2019-10-09 14:03:47,17.51,0.08,1474.736
2019-10-09 14:03:48,17.51,0.08,1474.733
2019-10-09 14:03:49,17.51,0.08,1474.726
2019-10-09 14:03:50,17.51,0.08,1474.726
2019-10-09 14:03:51,17.51,0.08,1474.726
2019-10-09 14:03:52,17.51,0.08,1474.723
2019-10-09 14:03:53,17.51,0.08,1474.716
2019-10-09 14:03:54,17.50,0.08,1474.716
2019-10-09 14:03:55,17.50,0.08,1474.713
2019-10-09 14:03:56,17.51,0.08,1474.713
2019-10-09 14:03:57,17.51,0.08,1474.713
2019-10-09 14:03:58,17.51,0.08,1474.713
2019-10-09 14:03:59,17.51,0.08,1474.713
2019-10-09 14:04:00,17.51,0.08,1474.713
2019-10-09 14:04:01,17.51,0.08,1474.716
2019-10-09 14:04:02,17.51,0.08,1474.723
2019-10-09 14:04:03,17.51,0.08,1474.726
2019-10-09 14:04:04,17.51,0.08,1474.733
2019-10-09 14:04:05,17.51,0.08,1474.733
